2017-04-06T13:58:29.233Z - info: T046GGDMC usage: 78305019
2017-04-06T13:58:29.235Z - info: T3T9JUKED usage: 2253520
2017-04-06T13:58:29.235Z - info: T02PG39GD usage: 552567598
2017-04-06T13:58:29.268Z - info: SET_NETWORK_STATUS : "online"
2017-04-06T13:58:29.459Z - info: Checking network connection to Slack...
2017-04-06T13:58:29.514Z - info: Bugsnag user: U02RY6D8B
2017-04-06T23:55:08.831Z - info: WebView received redirect request from https://zingle.slack.com/messages/@rremer/files/F4L3FUHS7/ to https://zingle.slack.com/messages/@rremer/files/F4L3FUHS7
2017-04-08T18:59:53.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:00:54.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:01:56.000Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:02:56.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:03:57.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:04:58.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:05:59.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:07:00.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:08:01.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:09:02.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:10:04.010Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:11:05.009Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:12:06.009Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:13:07.012Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:14:08.010Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:15:08.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:16:09.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:17:10.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:18:11.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:19:12.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:20:13.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:21:14.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:22:15.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:23:16.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:24:17.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:25:18.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:26:19.990Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:27:20.992Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:28:21.991Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:29:22.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:30:23.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:31:24.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:32:25.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:33:26.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:34:27.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:35:28.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:36:29.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:37:30.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:38:31.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:39:32.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:40:33.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:41:34.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:42:35.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:43:36.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:44:37.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:45:38.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:46:39.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:47:40.999Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:48:41.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:49:42.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:50:43.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:51:44.994Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:52:45.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:53:46.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:54:48.012Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:55:49.012Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:56:50.009Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:57:51.006Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:58:52.012Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T19:59:52.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:00:53.998Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:01:55.000Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:02:55.999Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:03:56.999Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:04:57.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:05:58.997Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:06:59.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:08:00.995Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:09:01.993Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
2017-04-08T20:10:02.996Z - info: Couldn't tickle MS: Cannot read property 'maybeTickleMS' of undefined
